05-21-15 10:49:46	127.0.0.1	INFO	admin	AuthService	Create User	user_id=admin
05-21-15 10:49:55	127.0.0.1	ERROR	shared	index.php	error l.90	message=You are not allowed to access this resource.
05-21-15 10:49:55	127.0.0.1	ERROR	shared	index.php	error l.90	message=You are not allowed to access this resource.
05-21-15 10:49:55	127.0.0.1	ERROR	shared	index.php	error l.90	message=You are not allowed to access this resource.
05-21-15 10:50:07	127.0.0.1	ERROR	shared	index.php	error l.90	message=You are not allowed to access this resource.
05-21-15 10:50:07	127.0.0.1	ERROR	shared	index.php	error l.90	message=You are not allowed to access this resource.
05-21-15 10:50:07	127.0.0.1	ERROR	shared	index.php	error l.90	message=You are not allowed to access this resource.
05-21-15 10:50:56	127.0.0.1	ERROR	shared	index.php	error l.90	message=You are not allowed to access this resource.
05-21-15 10:50:56	127.0.0.1	ERROR	shared	index.php	error l.90	message=You are not allowed to access this resource.
05-21-15 10:50:56	127.0.0.1	ERROR	shared	index.php	error l.90	message=You are not allowed to access this resource.
05-21-15 10:51:02	127.0.0.1	ERROR	shared	index.php	error l.90	message=You are not allowed to access this resource.
05-21-15 10:51:02	127.0.0.1	ERROR	shared	index.php	error l.90	message=You are not allowed to access this resource.
05-21-15 10:51:02	127.0.0.1	ERROR	shared	index.php	error l.90	message=You are not allowed to access this resource.
05-21-15 10:55:05	127.0.0.1	WARNING	shared	AuthService	Login failed	user=admin;error=Invalid password
05-21-15 10:55:17	127.0.0.1	INFO	admin	AuthService	Log In	context=WebUI
05-21-15 10:55:18	127.0.0.1	ERROR	admin	ConfService	Meta plugin	Cannot instanciate Meta plugin, reason : Empty SQL default connexion, there is something wrong with your setup! You may have switch to an SQL-based plugin without defining a connexion.
05-21-15 10:55:18	127.0.0.1	ERROR	admin	ConfService	Meta plugin	Cannot instanciate Meta plugin, reason : Empty SQL default connexion, there is something wrong with your setup! You may have switch to an SQL-based plugin without defining a connexion.
05-21-15 10:58:13	127.0.0.1	ERROR	admin	ConfService	Meta plugin	Cannot instanciate Meta plugin, reason : Empty SQL default connexion, there is something wrong with your setup! You may have switch to an SQL-based plugin without defining a connexion.
05-21-15 10:58:57	127.0.0.1	ERROR	admin	ConfService	Meta plugin	Cannot instanciate Meta plugin, reason : Empty SQL default connexion, there is something wrong with your setup! You may have switch to an SQL-based plugin without defining a connexion.
05-21-15 11:00:17	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=ajxp_conf
05-21-15 11:01:11	127.0.0.1	INFO	admin	ConfService	Create Repository	repo_name=data
05-21-15 11:01:12	127.0.0.1	ERROR	admin	index.php	error l.90	message=You are not allowed to access this resource.
05-21-15 11:01:15	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=ajxp_home
05-21-15 11:01:17	127.0.0.1	ERROR	admin	ConfService	Meta plugin	Cannot instanciate Meta plugin, reason : Empty SQL default connexion, there is something wrong with your setup! You may have switch to an SQL-based plugin without defining a connexion.
05-21-15 11:01:17	127.0.0.1	ERROR	admin	ConfService	Meta plugin	Cannot instanciate Meta plugin, reason : Empty SQL default connexion, there is something wrong with your setup! You may have switch to an SQL-based plugin without defining a connexion.
05-21-15 11:01:17	127.0.0.1	ERROR	admin	ConfService	Meta plugin	Cannot instanciate Meta plugin, reason : Empty SQL default connexion, there is something wrong with your setup! You may have switch to an SQL-based plugin without defining a connexion.
05-21-15 11:01:17	127.0.0.1	ERROR	admin	ConfService	Meta plugin	Cannot instanciate Meta plugin, reason : Empty SQL default connexion, there is something wrong with your setup! You may have switch to an SQL-based plugin without defining a connexion.
05-21-15 11:01:17	127.0.0.1	ERROR	admin	class.ConfService.php	error l.1365	message=Error while loading repository feature : Empty SQL default connexion, there is something wrong with your setup! You may have switch to an SQL-based plugin without defining a connexion.
05-21-15 11:01:18	127.0.0.1	ERROR	admin	ConfService	Meta plugin	Cannot instanciate Meta plugin, reason : Empty SQL default connexion, there is something wrong with your setup! You may have switch to an SQL-based plugin without defining a connexion.
05-21-15 11:01:24	127.0.0.1	ERROR	admin	ConfService	Meta plugin	Cannot instanciate Meta plugin, reason : Empty SQL default connexion, there is something wrong with your setup! You may have switch to an SQL-based plugin without defining a connexion.
05-21-15 11:01:24	127.0.0.1	ERROR	admin	ConfService	Meta plugin	Cannot instanciate Meta plugin, reason : Empty SQL default connexion, there is something wrong with your setup! You may have switch to an SQL-based plugin without defining a connexion.
05-21-15 11:01:44	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=ajxp_conf
05-21-15 11:02:31	127.0.0.1	INFO	admin	ConfService	Edit Repository	repo_name=data
05-21-15 11:02:37	127.0.0.1	INFO	admin	conf.serial	Switch Repository	rep. id=ajxp_home
05-21-15 11:02:38	127.0.0.1	ERROR	admin	ConfService	Meta plugin	Cannot instanciate Meta plugin, reason : Empty SQL default connexion, there is something wrong with your setup! You may have switch to an SQL-based plugin without defining a connexion.
05-21-15 11:02:38	127.0.0.1	ERROR	admin	ConfService	Meta plugin	Cannot instanciate Meta plugin, reason : Empty SQL default connexion, there is something wrong with your setup! You may have switch to an SQL-based plugin without defining a connexion.
05-21-15 11:02:38	127.0.0.1	ERROR	admin	class.ConfService.php	error l.1365	message=Error while loading repository feature : Empty SQL default connexion, there is something wrong with your setup! You may have switch to an SQL-based plugin without defining a connexion.
